TEAM,TEAM ABBREVIATION,SEASON,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2009,1-3,0-4,2-2,3-1,0-3,0-2,0-2,0-3,1-1,1-1,2-2,2-0,0-2,1-1,2-1,2-2,2-0,2-2,0-2,2-2,1-1,2-2,2-2,0-2,0-2,2-0,1-1,,0-2,2-1,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2009,1-1,1-1,1-1,0-2,0-2,2-2,2-2,2-0,2-2,2-2,2-0,3-0,1-2,4-0,0-2,1-1,3-1,1-1,3-0,1-1,3-1,0-2,2-0,2-2,2-2,4-0,0-3,2-0,,1-1,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2009,0-4,0-3,1-3,1-3,2-2,0-2,0-2,1-3,1-1,1-1,1-2,1-1,0-2,0-2,0-4,0-3,2-0,2-2,0-2,1-3,1-1,0-4,0-4,0-2,0-2,2-0,0-2,1-2,1-1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
