home_w,home_l,away_w,away_l,top_players,eff,HG_7days,AG_7days,G_7days,back2back,missing_players,home_elo,month,Home_Last_10_Avg_PTS_home,Home_Last_10_Avg_FG_PCT_home,Home_Last_10_Avg_FT_PCT_home,Home_Last_10_Avg_FG3_PCT_home,Home_Last_10_Avg_AST_home,Home_Last_10_Avg_REB_home,Home_Last_10_Avg_PTS_away,Home_Last_10_Avg_FG_PCT_away,Home_Last_10_Avg_FT_PCT_away,Home_Last_10_Avg_REB_away,Home_Last_10_Avg_FG3_PCT_away,Home_Last_10_Avg_AST_away,home_team_wins
12,18,8,20,0,908.5,3,0,3,0,2,1448.399437,2,117.3,0.5103,0.7325,0.3871,26.4,42,111.7,0.4821,0.7463,41.6,0.3473,25.7,0
22,7,17,11,1,1022.5,1,1,2,0,0,1712.852543,2,116.3,0.4914,0.7712,0.3892,27.6,43,112.1,0.4732,0.7793,42.2,0.3602,25.2,1
20,7,23,5,2,914.3636364,2,0,2,0,0,1756.137565,2,117.2,0.497,0.6996,0.359,26.5,47.2,113.2,0.4789,0.7061,40.5,0.3847,24.8,1
16,12,10,20,0,553.875,2,0,2,0,2,1600.21298,2,119.8,0.4942,0.7268,0.4108,25.3,50.6,112.6,0.4435,0.8036,42.5,0.3715,22.6,0
7,21,5,24,0,530.6,2,0,2,0,1,1423.479198,2,113.1,0.4735,0.834,0.3592,27.1,44.2,114.6,0.4768,0.7687,41,0.3942,30,0
7,22,8,19,1,887.5,0,2,2,0,0,1382.520463,2,112.6,0.4659,0.793,0.3539,25.2,43.1,118.4,0.5086,0.734,43.4,0.3909,28,1
26,2,9,20,2,933.875,1,1,2,0,0,1668.199819,2,118.5,0.4968,0.7506,0.3535,26,47.8,104.6,0.4114,0.759,43.9,0.3342,22.6,1
13,14,7,21,1,483,1,1,2,1,0,1485.573997,2,117.6,0.472,0.7709,0.3497,25.5,45.8,115.2,0.4687,0.7277,44.6,0.3708,25.5,0
16,12,10,17,0,830.2222222,0,2,2,0,0,1593.444859,2,114.2,0.473,0.7585,0.3418,25.3,47,105.9,0.4269,0.7534,45.3,0.3205,23.6,0
19,8,17,12,1,748,0,2,2,0,1,1717.40381,2,117.7,0.4715,0.8214,0.3333,23.9,42.7,113.8,0.4609,0.8144,44.7,0.3795,22.9,1
15,14,19,9,0,694.2727273,0,2,2,0,0,1663.380992,2,114.6,0.4552,0.8015,0.3586,24.7,42.4,115.1,0.4765,0.8131,48.3,0.3908,25.3,1
20,7,16,13,1,1039.7,2,0,2,0,0,1693.16545,2,113.1,0.4766,0.7955,0.3485,21.9,43.9,111,0.4654,0.7652,43,0.3998,21.1,0
22,6,15,13,3,1065.166667,1,0,1,0,0,1651.473158,2,114.2,0.4373,0.7609,0.3693,26.4,47.4,115.4,0.4582,0.791,47.6,0.3661,24.2,1
19,7,23,5,2,946.4,1,0,1,0,0,1753.137429,2,117.1,0.4957,0.712,0.3723,27.5,46.7,114.8,0.4831,0.7044,41.3,0.3965,25.6,1
22,7,19,8,1,751.8888889,1,0,1,0,0,1765.260789,2,116,0.481,0.8095,0.3659,25,47.1,110.5,0.4532,0.7853,40.5,0.3502,26,1
21,7,17,11,1,913.75,0,1,1,0,0,1710.649275,2,113.9,0.4886,0.7494,0.3858,27.9,43.3,110.1,0.466,0.7867,42.8,0.363,24.9,1
11,18,8,20,0,908.5,2,0,2,1,3,1440.265169,2,115.3,0.5047,0.75,0.3818,26.7,42.6,111.8,0.4832,0.7352,41.8,0.3437,25.7,1
18,12,16,10,0,762.1818182,1,0,1,0,0,1699.1309,2,107.3,0.4617,0.7927,0.3356,22.3,41.9,110.5,0.4644,0.8066,44.5,0.3609,23.5,1
7,20,5,24,0,610.25,1,0,1,0,2,1431.63415,2,114.8,0.4788,0.8499,0.3765,27.4,43.2,116,0.4874,0.8148,39.4,0.4144,30.1,0
15,12,10,20,0,623.1428571,1,0,1,0,2,1598.343933,2,121.6,0.4971,0.7377,0.4036,25.7,51.5,113.4,0.4431,0.7919,42,0.3763,22.9,1
22,5,15,13,2,968.9,0,0,0,0,0,1668.95846,2,115.6,0.4412,0.7575,0.3655,26.9,47.2,116.4,0.459,0.8011,47.6,0.3731,25,0
8,17,11,19,0,506.8571429,0,1,1,0,0,1473.87517,2,103.7,0.4258,0.7673,0.2985,23.1,45.5,104.8,0.4633,0.7602,44.6,0.3436,25.3,0
10,17,6,24,0,767.5,1,0,1,0,0,1447.614805,2,125.8,0.4844,0.8453,0.3856,25.3,45.6,117.8,0.4624,0.834,44.6,0.3494,24.9,1
22,3,13,17,0,579.1111111,0,1,1,0,1,1661.094085,2,113.4,0.4685,0.8036,0.4014,24.6,42.4,106.4,0.4308,0.7699,45.1,0.3538,25.9,1
11,17,8,20,0,908.5,1,0,1,0,3,1449.493672,2,113,0.5005,0.7429,0.3666,27.2,43.1,110.4,0.4822,0.737,41.3,0.3417,25.5,0
25,3,22,5,1,934.5,0,1,1,0,0,1838.580976,2,116,0.4559,0.7702,0.3541,26.6,49.1,116.2,0.4473,0.8056,48.6,0.3548,25.2,1
20,6,16,13,1,1200.625,1,0,1,1,0,1707.820985,2,113.8,0.4805,0.7894,0.3545,22.5,43.1,111.6,0.4634,0.7652,42.8,0.3956,20.5,0
15,13,9,18,1,838.7,0,0,0,0,0,1563.919165,2,106.4,0.4513,0.765,0.3528,26.6,43.3,107.9,0.4572,0.8138,44.1,0.3982,25.8,0
13,13,7,20,1,571.6,0,0,0,0,0,1507.5202,2,120.6,0.4816,0.7945,0.353,25.8,45.8,117.9,0.4679,0.7459,44,0.3678,26,0
8,19,9,19,1,809.1,0,0,0,0,0,1438.510223,2,107.7,0.4651,0.6894,0.3323,24.4,42.8,111.2,0.4691,0.742,43.5,0.3611,24.1,0
21,7,19,8,1,751.8888889,0,0,0,0,0,1761.953669,2,114.8,0.47,0.8103,0.3713,25.3,47.1,111.4,0.4533,0.7827,42.1,0.3646,26.2,1
7,20,9,17,0,724.1666667,0,0,0,0,1,1471.036245,2,121.2,0.4848,0.7565,0.3944,26.8,43.9,118.5,0.4742,0.8029,43.1,0.3728,24,0
