home_w_visitor,home_l_visitor,away_w_visitor,away_l_visitor,top_players_visitor,eff_visitor,HG_7days_VISITOR,AG_7days_VISITOR,G_7days_VISITOR,back2back_visitor,missing_players_visitor,visitor_elo,month,Away_Last_10_Avg_PTS_home,Away_Last_10_Avg_FG_PCT_home,Away_Last_10_Avg_FT_PCT_home,Away_Last_10_Avg_FG3_PCT_home,Away_Last_10_Avg_AST_home,Away_Last_10_Avg_REB_home,Away_Last_10_Avg_PTS_away,Away_Last_10_Avg_FG_PCT_away,Away_Last_10_Avg_FT_PCT_away,Away_Last_10_Avg_REB_away,Away_Last_10_Avg_FG3_PCT_away,Away_Last_10_Avg_AST_away,home_team_wins
24,7,10,18,1,1027.555556,2,0,2,1,0,1555.271553,2,107.9,0.4703,0.7616,0.3337,22.4,42.7,105.4,0.4856,0.7646,39.3,0.3393,22.6,1
21,5,21,10,3,1053.25,1,0,1,0,0,1699.540312,2,102,0.4606,0.7511,0.381,20.4,41.1,99.2,0.4662,0.7563,42,0.3123,18.8,1
25,5,16,9,1,1052.333333,0,1,1,0,3,1647.514937,2,91.4,0.4362,0.7621,0.3366,18.9,38.4,91.4,0.448,0.7737,42.4,0.3157,22.2,1
15,13,12,18,1,914.4444444,1,1,2,1,0,1510.280404,2,105.2,0.4557,0.8027,0.3019,21.3,42.6,104.1,0.4644,0.7804,43.7,0.3479,22.5,0
14,16,7,21,0,599.8181818,2,0,2,1,0,1395.760427,2,92.6,0.454,0.7546,0.3564,20.6,36,99.3,0.498,0.792,41.1,0.3809,24.7,1
7,22,6,19,0,676,0,2,2,1,2,1359.36914,2,106,0.4853,0.7574,0.3281,22.2,42.2,101.8,0.4711,0.7642,40,0.3058,19.8,0
14,14,1,26,0,620.375,1,1,2,1,0,1331.301828,2,98.1,0.4632,0.7344,0.3737,21.5,43.3,99,0.4543,0.6911,43.5,0.3425,18.9,1
25,4,13,12,1,968,1,0,1,0,0,1639.70892,2,98.8,0.4679,0.7582,0.3446,23.1,39.4,94.2,0.4639,0.7133,39.4,0.3465,19.6,1
20,8,16,11,1,947.6,1,0,1,1,0,1597.465308,2,107.8,0.4672,0.777,0.3157,22.6,45.2,103.2,0.4787,0.7467,37.5,0.3614,19.4,1
14,13,8,21,0,926.5555556,2,0,2,1,1,1449.585452,2,93.1,0.4474,0.7921,0.3422,18.8,42.8,86.8,0.4102,0.7505,42.7,0.2579,18,1
19,8,12,19,1,863.6666667,0,1,1,1,0,1554.570783,2,100.3,0.4636,0.745,0.376,20.3,42.1,98.7,0.4628,0.7642,39.7,0.3437,19.2,0
17,13,14,13,1,665.25,1,0,1,0,1,1469.543832,2,96.1,0.4671,0.7626,0.2798,21.5,42.8,99.1,0.4498,0.7738,39.3,0.3571,20.9,1
17,9,17,13,3,997.5,0,2,2,1,0,1518.303735,2,96,0.4661,0.7668,0.3626,23.4,40.3,94.8,0.4679,0.778,40,0.289,21.6,1
16,14,5,22,0,704.4285714,0,2,2,1,0,1408.400003,2,102.2,0.4542,0.7596,0.3191,21.6,40,96.2,0.4433,0.7204,40.3,0.3513,20.2,1
20,8,19,11,2,1001,1,1,2,1,0,1600.451153,2,96.9,0.457,0.8463,0.3233,23,44,93.7,0.4385,0.7382,40.6,0.2854,21.4,0
10,18,5,23,0,545.5,1,0,1,0,0,1330.527853,2,100.9,0.4768,0.776,0.3209,23.4,42.8,96.6,0.4543,0.7659,41.3,0.2761,21,1
15,12,9,18,0,655.0909091,1,1,2,0,0,1483.485707,2,105.4,0.4582,0.7625,0.3752,20.3,43.6,104.4,0.4582,0.7765,43.5,0.3316,18.1,0
15,13,11,18,1,855,1,0,1,0,0,1501.070448,2,106.3,0.4616,0.8014,0.3108,21.9,42.3,103.9,0.4673,0.7675,42.9,0.3495,21.5,0
7,22,6,18,0,676,0,2,2,0,1,1361.189258,2,103.8,0.4699,0.7693,0.3196,22.2,41.5,102.1,0.4747,0.7659,40.8,0.3136,20.1,1
9,19,4,24,0,693.75,1,0,1,0,0,1309.01734,2,97.2,0.4292,0.7529,0.2998,20.8,42.5,102.3,0.4554,0.8063,44.9,0.3736,22.6,1
16,14,5,21,0,795.8571429,0,1,1,0,0,1413.33229,2,101.6,0.4588,0.7647,0.2936,22.2,39.9,97.2,0.4468,0.741,40.3,0.3336,20.7,1
19,8,12,18,1,802.4,1,0,1,0,0,1563.910049,2,99,0.4642,0.7554,0.3617,20.3,42.9,97.3,0.4517,0.785,39.6,0.3437,18.8,1
25,5,15,9,1,996,1,0,1,0,0,1634.324613,2,89.9,0.4336,0.745,0.3353,18.7,39.8,88.7,0.4393,0.7707,41.4,0.3039,20.8,0
17,9,17,12,3,826.5,0,1,1,0,0,1527.539824,2,95.4,0.4608,0.7601,0.3726,23.6,39.2,95.8,0.4731,0.784,41.1,0.3191,21.8,1
25,2,21,7,1,823.6,0,3,3,0,1,1703.992758,2,94.5,0.4527,0.78,0.2728,18.7,37.4,99.7,0.4864,0.7091,41.9,0.3927,22.9,1
21,8,18,8,2,965.7777778,1,2,3,1,1,1623.854617,2,102.8,0.4635,0.7634,0.3554,23.2,40.7,102.2,0.4804,0.7812,41.7,0.3833,21.5,0
14,13,1,25,0,578.375,2,1,3,0,0,1346.728904,2,101.7,0.4788,0.7326,0.3596,22.1,42.8,103.8,0.4694,0.6995,41.9,0.3861,20.8,1
20,5,20,10,3,958.7,0,3,3,1,0,1694.996161,2,99.9,0.4482,0.7501,0.3644,19.6,41.1,98.7,0.4593,0.7635,42.1,0.3432,19.1,0
13,15,4,24,1,586.3,3,1,4,0,0,1333.330124,2,97.2,0.4602,0.6943,0.4017,20.9,41,96.7,0.4506,0.7766,40.6,0.3852,21.1,1
19,8,19,10,2,1001,0,4,4,0,0,1604.808761,2,95.2,0.4471,0.8336,0.3268,21.2,41.4,96.7,0.4709,0.7167,41.1,0.3347,23,1
15,12,9,17,0,674.4,3,1,4,1,0,1491.037899,2,104.9,0.4544,0.7821,0.3883,20.3,43.7,102.4,0.4489,0.7765,42.8,0.326,17.1,1
17,9,17,11,3,900.0909091,1,1,2,0,0,1537.489243,2,93.9,0.4595,0.7541,0.3668,23.4,38.2,97.1,0.4798,0.8154,41,0.3165,21.7,1
16,14,4,21,0,792,0,4,4,0,1,1403.751439,2,102.9,0.4664,0.7703,0.3023,23.2,38.5,96.2,0.4415,0.7515,40.7,0.3336,20.2,0
7,22,6,17,0,841.375,2,2,4,1,0,1363.66232,2,101.1,0.4503,0.8021,0.2779,20.4,42.4,101.5,0.4705,0.7644,41.8,0.3011,18.9,1
17,9,9,20,1,868,2,2,4,1,0,1549.878522,2,95.7,0.4554,0.7738,0.3588,21.6,39.4,99,0.4591,0.8351,43.2,0.3095,20.5,0
22,7,9,18,2,1092.222222,1,3,4,0,0,1523.354926,2,111.7,0.497,0.7884,0.382,24,42,106.6,0.4861,0.7764,37.3,0.3949,23.3,0
19,11,6,18,2,892,3,1,4,1,0,1449.784227,2,103.5,0.4862,0.7968,0.3967,24.3,41.3,98.7,0.4754,0.7124,39.2,0.3578,25.6,0
20,8,13,16,1,808,1,3,4,1,0,1532.888349,2,98,0.475,0.7852,0.3808,22.7,39.4,97.1,0.4552,0.8391,39.7,0.3494,19.1,1
20,5,19,10,3,983.9,1,2,3,0,0,1689.197045,2,98.9,0.4424,0.7529,0.3503,20.1,41.1,96.5,0.4521,0.7563,42,0.3445,18.9,0
14,14,10,17,1,626.5,2,2,4,1,1,1470.044654,2,94.4,0.4391,0.7881,0.3462,21.7,39.8,93.6,0.4421,0.7702,42.2,0.2897,20.7,1
17,9,9,19,1,870,2,2,4,0,0,1557.240627,2,94.9,0.4574,0.7924,0.3409,21.5,39,100.6,0.4645,0.8387,43.1,0.3131,21.9,1
7,22,6,16,0,750,2,1,3,0,0,1368.444043,2,96.6,0.4398,0.7815,0.2779,19.2,41.5,101.5,0.4803,0.762,42,0.3385,19,1
17,12,14,12,2,871.1428571,2,0,2,0,3,1484.577385,2,97.2,0.4711,0.7495,0.267,22.3,43,99.5,0.4476,0.7818,39.8,0.3471,21.3,1
20,8,13,15,1,709.7272727,1,2,3,0,0,1545.520796,2,98.1,0.4751,0.7913,0.359,22.1,39,99.4,0.4721,0.8397,39.4,0.3579,20.7,1
19,8,19,9,2,1001,0,4,4,1,0,1626.09263,2,96.3,0.4579,0.8354,0.3331,21.8,41.5,96.9,0.469,0.7132,40.2,0.3564,23.5,1
25,2,20,7,1,823.6,0,4,4,0,1,1699.601329,2,96.2,0.4638,0.794,0.2728,19.3,37.1,100.8,0.4914,0.7114,41.5,0.3822,23.4,0
17,9,16,11,3,860.4545455,2,0,2,0,0,1524.738668,2,91.9,0.45,0.757,0.3342,22.5,38.8,97.7,0.4713,0.8168,42.6,0.326,21.7,0
16,14,4,20,0,691,0,4,4,1,1,1414.53161,2,102.3,0.4563,0.7853,0.288,22.9,40.2,96.7,0.4408,0.7427,41.7,0.3268,20,1
18,7,12,17,1,565.6666667,1,2,3,1,0,1527.550615,2,97.4,0.467,0.7888,0.3835,20.2,39.8,96,0.4783,0.7504,37,0.4075,20.4,0
